,tweet_id,favorite_count,retweet_count,retweet_status,url
1716,679148763231985668,2585,949,Original tweet,https://t.co/eWjWgbOCYL
1717,679132435750195208,2743,1050,Original tweet,https://t.co/qoIvjKMY58
1718,679111216690831360,5493,2352,Original tweet,https://t.co/4R0Cc0sLVE
1719,679062614270468097,15668,7306,Original tweet,https://t.co/Xl37lQEWd0
1720,679047485189439488,2075,597,Original tweet,https://t.co/kTpr9PTMg1
1721,679001094530465792,2634,1111,Original tweet,https://t.co/Ajquq6oGSg
1722,678991772295516161,2101,1037,Original tweet,https://t.co/GJT6SILPGU
1723,678969228704284672,1519,417,Original tweet,https://t.co/etpBNXwN7f
1724,678800283649069056,2378,829,Original tweet,https://t.co/DpCSVsl6vu
1725,678798276842360832,3187,1047,Original tweet,https://t.co/blaY85FIxR
1726,678774928607469569,2600,831,Original tweet,https://t.co/Sp739Ou2qx
1727,678767140346941444,3264,1248,Original tweet,https://t.co/G6TQVgTcZz
1728,678764513869611008,1500,427,Original tweet,https://t.co/m6XoclB0qv
1729,678755239630127104,6565,2967,Original tweet,https://t.co/NqcOwG8pxW
1730,678740035362037760,3443,1510,Original tweet,https://t.co/p2T5kGebxe
1731,678708137298427904,5202,2222,Original tweet,https://t.co/sZy9Co74Bw
1732,678675843183484930,2634,1331,Original tweet,https://t.co/a8SqCaSo2r
1733,678643457146150913,1896,364,Original tweet,https://t.co/QBGwYrT7rv
1734,678446151570427904,3700,1387,Original tweet,https://t.co/AJWJHov5gx
1735,678424312106393600,5048,2317,Original tweet,https://t.co/rtMtjSl9pz
1736,678410210315247616,3879,1633,Original tweet,https://t.co/dIy88HwrX8
1737,678399652199309312,74386,28968,Original tweet,https://t.co/VRTbo3aAcm
1738,678396796259975168,1474,381,Original tweet,https://t.co/LmThv0GWen
1739,678389028614488064,1725,385,Original tweet,https://t.co/auOoKuoveM
1740,678380236862578688,2270,832,Original tweet,https://t.co/a0Zx5LDFZa
1741,678341075375947776,1595,480,Original tweet,https://t.co/cSp6w5GWgm
1742,678334497360859136,1191,228,Original tweet,https://t.co/GO76MdGBs0
1743,678278586130948096,10541,5563,Original tweet,https://t.co/JK8MByRzgj
1744,678255464182861824,1468,336,Original tweet,https://t.co/nZhmRwZzWv
1745,678023323247357953,1766,346,Original tweet,0
1746,678021115718029313,12526,5716,Original tweet,https://t.co/cbLroGCbmh
1747,677961670166224897,3163,1545,Original tweet,https://t.co/4JS92YAxTi
1748,677918531514703872,1235,373,Original tweet,https://t.co/lWL2IMJqLR
1749,677895101218201600,4437,1873,Original tweet,https://t.co/EJImi1udYb
1750,677716515794329600,2813,894,Original tweet,https://t.co/ZanVtAtvIq
1751,677700003327029250,3144,1310,Original tweet,https://t.co/zoDdPyPFsa
1752,677698403548192770,1132,293,Original tweet,https://t.co/fm7HxOsuPK
1753,677687604918272002,2293,766,Original tweet,https://t.co/gzkuVGRgAD
1754,677673981332312066,3070,1369,Original tweet,https://t.co/GFVIHIod0Z
1755,677662372920729601,1797,859,Original tweet,https://t.co/pvjdRn00XH
1756,677644091929329666,1724,738,Original tweet,https://t.co/Ozo9KHTRND
1757,677573743309385728,1956,617,Original tweet,https://t.co/Htu8plSqEu
1758,677565715327688705,1207,418,Original tweet,https://t.co/EX9oR55VMe
1759,677557565589463040,2261,1036,Original tweet,https://t.co/96IBkOYB7j
1760,677547928504967168,6391,3343,Original tweet,https://t.co/AGag0hFHpe
1761,677530072887205888,980,206,Original tweet,https://t.co/DKe9DBnnHE
1762,677335745548390400,2790,1572,Original tweet,https://t.co/vSLtYBWHcQ
1763,677334615166730240,1242,255,Original tweet,https://t.co/KmMv3Y2zI8
1764,677331501395156992,997,212,Original tweet,https://t.co/FS7eJQM2F4
1765,677328882937298944,3378,1367,Original tweet,https://t.co/KgcsGNb61s
1766,677314812125323265,1520,476,Original tweet,https://t.co/fgORpmTN9C
1767,677301033169788928,1127,358,Original tweet,https://t.co/IoLRvF0Kak
1768,677269281705472000,1816,643,Original tweet,https://t.co/ep8ATEJwRb
1769,677228873407442944,3252,1485,Original tweet,https://t.co/hGkMCjZzn4
1770,677187300187611136,2512,825,Original tweet,https://t.co/gzI0m6wXRo
1771,676975532580409345,2558,965,Original tweet,https://t.co/j1zczS0lI5
1772,676957860086095872,2060,731,Original tweet,https://t.co/ngTNXYQF0L
1773,676949632774234114,1201,356,Original tweet,https://t.co/HqM3YhCaaa
1774,676948236477857792,1985,785,Original tweet,https://t.co/Lo4ALwjVh4
1775,676946864479084545,1592,332,Original tweet,https://t.co/2mXALbgBTV
1776,676942428000112642,1900,677,Original tweet,https://t.co/PWMqAoEx2a
1777,676936541936185344,11766,4494,Original tweet,https://t.co/mqvaxleHRz
1778,676916996760600576,2726,1641,Original tweet,https://t.co/uPXBXS1XNb
1779,676897532954456065,2072,656,Original tweet,https://t.co/Avq4awulqk
1780,676864501615042560,1918,639,Original tweet,https://t.co/NJj2uP0atK
1781,676821958043033607,20971,14000,Original tweet,https://t.co/mvQaETHVSb
1782,676819651066732545,1674,604,Original tweet,https://t.co/1HrFdo7M0C
1783,676811746707918848,1322,389,Original tweet,https://t.co/aqBHjjh5VD
1784,676776431406465024,4577,1821,Original tweet,https://t.co/4rMZi5Ca1k
1785,676617503762681856,2649,867,Original tweet,https://t.co/mpQl2rJjDh
1786,676613908052996102,1002,182,Original tweet,https://t.co/vQ2Lw1BLBF
1787,676606785097199616,1743,393,Original tweet,https://t.co/N5QL4ySBEx
1788,676603393314578432,1061,346,Original tweet,https://t.co/g1tLGkyaxr
1789,676593408224403456,4190,1931,Original tweet,https://t.co/APvLqbEhkF
1790,676590572941893632,848,111,Original tweet,u
1791,676588346097852417,2104,708,Original tweet,https://t.co/Nrhvc5tLFT
1792,676582956622721024,1091,252,Original tweet,https://t.co/vZYtynZZlH
1793,676575501977128964,2360,1006,Original tweet,https://t.co/NsGyECJuq7
1794,676533798876651520,1718,499,Original tweet,https://t.co/bfw13CnuuZ
1795,676496375194980353,1393,474,Original tweet,https://t.co/eoBCjSFajX
1796,676470639084101634,10723,4235,Original tweet,https://t.co/tAmQYvzrau
1797,676440007570247681,1588,602,Original tweet,https://t.co/dB0H9hdZai
1798,676430933382295552,1280,307,Original tweet,https://t.co/3bim9U5Idr
1799,676263575653122048,1913,489,Original tweet,https://t.co/fTgbq1UBR9
1800,676237365392908289,1104,254,Original tweet,https://t.co/dOLQddhXLZ
1801,676219687039057920,70355,28003,Original tweet,https://t.co/uQt37xlYMJ
1802,676215927814406144,1591,521,Original tweet,https://t.co/tg8h9lzCHv
1803,676191832485810177,2079,933,Original tweet,https://t.co/gwryaJO4tC
1804,676146341966438401,1774,601,Original tweet,https://t.co/lmQRrNxaQu
1805,676121918416756736,1980,1043,Original tweet,https://t.co/ICNIjSkrXs
1806,676101918813499392,2609,1061,Original tweet,https://t.co/B3xxSLjQSH
1807,676098748976615425,2712,1265,Original tweet,https://t.co/REyE5YKVBb
1808,676089483918516224,1201,397,Original tweet,https://t.co/Cuz0Osnekp
1809,675898130735476737,1470,514,Original tweet,https://t.co/G0pQiFGM7O
1810,675891555769696257,1948,773,Original tweet,https://t.co/kiW6Knb7Gp
1811,675888385639251968,2151,850,Original tweet,https://t.co/06oZdehGEa
1812,675878199931371520,3815,1262,Original tweet,https://t.co/sfsVCGIipI
1813,675870721063669760,1489,510,Original tweet,https://t.co/QG708dDNH6
1814,675853064436391936,2459,1155,Original tweet,https://t.co/y93p6FLvVw
1815,675849018447167488,872,125,Original tweet,u
1816,675845657354215424,2078,789,Original tweet,https://t.co/40dj4eTsXG
1817,675822767435051008,1398,483,Original tweet,https://t.co/GK2HJtkdQk
1818,675820929667219457,969,213,Original tweet,https://t.co/lyXX3v5j4s
1819,675798442703122432,9441,3100,Original tweet,https://t.co/whQKMygnK6
1820,675781562965868544,1475,423,Original tweet,https://t.co/DVAqAnb624
1821,675740360753160193,1078,301,Original tweet,https://t.co/AUJi8ujxw9
1822,675710890956750848,1711,730,Original tweet,https://t.co/JWi6YrpiO1
1823,675707330206547968,1802,615,Original tweet,https://t.co/ALJvbtcwf0
1824,675706639471788032,593,86,Original tweet,https://t.co/7E0AiJXPmI
1825,675534494439489536,1678,368,Original tweet,https://t.co/H7kpabTfLj
1826,675531475945709568,1083,340,Original tweet,https://t.co/c9jmg3Xtzn
1827,675522403582218240,951,253,Original tweet,https://t.co/rO2zxf0OQ0
1828,675517828909424640,1168,414,Original tweet,https://t.co/XDiQw4Akiw
1829,675501075957489664,15741,5293,Original tweet,https://t.co/WId5lxNdPH
1830,675497103322386432,2857,1162,Original tweet,https://t.co/h3AWz4AzuC
1831,675489971617296384,1166,534,Original tweet,https://t.co/MnTrKaQ8Wn
1832,675483430902214656,1681,868,Original tweet,https://t.co/C3tlKVq7eO
1833,675432746517426176,1379,512,Original tweet,https://t.co/wNkqAED6lG
1834,675372240448454658,1544,464,Original tweet,https://t.co/IyAXinfyju
1835,675362609739206656,959,199,Original tweet,https://t.co/cZlkvgRPdn
1836,675354435921575936,29752,15051,Original tweet,https://t.co/Bb3xnpsWBC
1837,675349384339542016,3579,2033,Original tweet,https://t.co/ZQZf2U4xCP
1838,675334060156301312,2511,1148,Original tweet,https://t.co/2d68FmWGGs
1839,675166823650848770,3216,1398,Original tweet,https://t.co/bijCeHeX4C
1840,675153376133427200,5668,2293,Original tweet,https://t.co/RDXCfk8hK0
1841,675149409102012420,3398,1524,Original tweet,https://t.co/p6O8X93bTQ
1842,675147105808306176,849,203,Original tweet,https://t.co/f50mbB4UWS
1843,675146535592706048,1070,259,Original tweet,https://t.co/Uz52oYnHzF
1844,675145476954566656,1931,796,Original tweet,https://t.co/YDgstgIDGs
1845,675135153782571009,1177,419,Original tweet,https://t.co/zf7Sxxjfp3
1846,675113801096802304,1756,696,Original tweet,https://t.co/2H5SKmk0k7
1847,675111688094527488,872,218,Original tweet,https://t.co/lFU9W31Fg9
1848,675109292475830276,2547,1010,Original tweet,https://t.co/WjcELNEqN2
1849,675047298674663426,942,279,Original tweet,https://t.co/diboDRUuEI
1850,675015141583413248,2456,1057,Original tweet,https://t.co/JAncIdNp8G
1851,675006312288268288,886,204,Original tweet,https://t.co/QMmAqA9VqO
1852,675003128568291329,1408,414,Original tweet,https://t.co/pCGDgLkLo6
1853,674999807681908736,2018,971,Original tweet,https://t.co/i9CDd1oEu8
1854,674805413498527744,777,321,Original tweet,https://t.co/vqFkgYPCW8
1855,674800520222154752,2734,764,Original tweet,https://t.co/cMI2AcLm4B
1856,674793399141146624,2257,970,Original tweet,https://t.co/HwroPYv8pY
1857,674790488185167872,1003,220,Original tweet,https://t.co/L1puJISV1a
1858,674788554665512960,730,184,Original tweet,https://t.co/P3ElQ2wsjb
1859,674781762103414784,1821,1066,Original tweet,https://t.co/ot8yMUGodj
1860,674774481756377088,1001,418,Original tweet,https://t.co/gxIFgg8ktm
1861,674767892831932416,1650,700,Original tweet,https://t.co/Bob33W4sfD
1862,674764817387900928,708,204,Original tweet,https://t.co/RBiQ8hPqwr
1863,674754018082705410,1235,391,Original tweet,https://t.co/9YmNcxA2Cc
1864,674752233200820224,1320,409,Original tweet,https://t.co/rLf7asnHxO
1865,674743008475090944,1269,477,Original tweet,https://t.co/VagYftZccT
1866,674742531037511680,434,46,Original tweet,u
1867,674739953134403584,983,333,Original tweet,https://t.co/URNs5zFskc
1868,674737130913071104,588,81,Original tweet,https://t.co/KNfLnYPmYh
1869,674690135443775488,1037,416,Original tweet,https://t.co/Unz1uNrOzo
1870,674670581682434048,1467,581,Original tweet,https://t.co/NRNExUy9Hm
1871,674664755118911488,823,209,Original tweet,https://t.co/S8wCLemrNb
1872,674646392044941312,1299,433,Original tweet,https://t.co/YPfw7oahbD
1873,674644256330530816,945,248,Original tweet,https://t.co/m6aC8d1Kzp
1874,674638615994089473,1531,522,Original tweet,https://t.co/F33n1hy3LL
1875,674632714662858753,1357,511,Original tweet,https://t.co/EJzzNHE8bE
1876,674606911342424069,844,87,Original tweet,s
1877,674468880899788800,5643,1805,Original tweet,https://t.co/6d9WziPXmx
1878,674447403907457024,967,316,Original tweet,https://t.co/AyJ7Ohk71f
1879,674436901579923456,1001,348,Original tweet,https://t.co/CLEOjxhTEx
1880,674422304705744896,1299,476,Original tweet,https://t.co/BxTJAFSIgk
1881,674416750885273600,618,119,Original tweet,https://t.co/7qjXy1uUYY
1882,674410619106390016,1082,410,Original tweet,https://t.co/CZ0YaB40Hn
1883,674394782723014656,1356,501,Original tweet,https://t.co/cAlB4XCcsi
1884,674372068062928900,775,282,Original tweet,https://t.co/G4m0TFY9uc
1885,674330906434379776,513,67,Original tweet,7
1886,674318007229923329,1270,458,Original tweet,https://t.co/7mf8XXPAZv
1887,674307341513269249,10266,6139,Original tweet,https://t.co/SroTpI6psB
1888,674291837063053312,13345,5220,Original tweet,https://t.co/2S6oye3XqK
1889,674271431610523648,1410,655,Original tweet,https://t.co/3aXX6wH6it
1890,674269164442398721,832,208,Original tweet,https://t.co/vYe9RlVz2N
1891,674265582246694913,1475,744,Original tweet,https://t.co/Pu9RhfHDEQ
1892,674262580978937856,1197,394,Original tweet,https://t.co/gJS1qU0jP7
1893,674255168825880576,1322,478,Original tweet,https://t.co/r6LZN1o1Gx
1894,674082852460433408,691,147,Original tweet,https://t.co/Bko5kFJYUU
1895,674075285688614912,901,249,Original tweet,https://t.co/7jOPktauh4
1896,674063288070742018,5801,1937,Original tweet,https://t.co/1ZbfqAVDg6
1897,674053186244734976,2988,1149,Original tweet,https://t.co/gQAMg5ypW5
1898,674051556661161984,1310,440,Original tweet,https://t.co/YE2XDHy4Yk
1899,674045139690631169,1280,572,Original tweet,https://t.co/t5ih0VrK02
1900,674042553264685056,644,113,Original tweet,https://t.co/sAI6gCGZYX
1901,674038233588723717,995,374,Original tweet,https://t.co/nX8FiGRHvk
1902,674036086168010753,770,182,Original tweet,https://t.co/jcNdw43BIP
1903,674024893172875264,1602,1099,Original tweet,https://t.co/qzYXbyv0SJ
1904,674019345211760640,1027,269,Original tweet,https://t.co/fqiEsTduEs
1905,674014384960745472,1414,569,Original tweet,https://t.co/Ac37LOe3xD
1906,674008982932058114,1096,308,Original tweet,https://t.co/PiSXXZjDSJ
1907,673956914389192708,1776,853,Original tweet,https://t.co/nyReCVRiyd
1908,673919437611909120,1065,331,Original tweet,https://t.co/cdwPTsGEAb
1909,673906403526995968,2881,1464,Original tweet,https://t.co/t5rQHl6W8M
1910,673887867907739649,853,224,Original tweet,https://t.co/6qYd6BNSPd
1911,673716320723169284,2809,678,Original tweet,u
1912,673715861853720576,3198,1837,Original tweet,https://t.co/dFiaKZ9cDl
1913,673711475735838725,948,268,Original tweet,https://t.co/MTOOksRzvH
1914,673709992831262724,763,240,Original tweet,https://t.co/s2ktuPQd79
1915,673708611235921920,961,259,Original tweet,https://t.co/kLV8zUCfc8
1916,673707060090052608,999,350,Original tweet,https://t.co/QyH1CaY3SM
1917,673705679337693185,1135,364,Original tweet,https://t.co/Ymg4fwKlZd
1918,673700254269775872,1297,509,Original tweet,https://t.co/mcPd5AFfhA
1919,673697980713705472,3560,1720,Original tweet,https://t.co/lepRCaGcgw
1920,673689733134946305,1572,583,Original tweet,https://t.co/YPsJasNVGe
1921,673688752737402881,1140,443,Original tweet,https://t.co/jMki5GOV3y
1922,673686845050527744,1290,385,Original tweet,https://t.co/wImU0jdx3E
1923,673680198160809984,1242,421,Original tweet,https://t.co/GwvpQiQ7oQ
1924,673662677122719744,1142,334,Original tweet,https://t.co/fJulMurnfj
1925,673656262056419329,657,205,Original tweet,https://t.co/PN8hxgZ9We
1926,673636718965334016,1001,319,Original tweet,https://t.co/gKlLpNzIl3
1927,673612854080196609,1443,642,Original tweet,https://t.co/0iyItbtkr8
1928,673583129559498752,1076,320,Original tweet,https://t.co/JpoEvgbDug
1929,673580926094458881,749,242,Original tweet,https://t.co/H6rqZyE4NP
1930,673576835670777856,1250,498,Original tweet,https://t.co/WlKiN3ll0w
1931,673363615379013632,938,268,Original tweet,https://t.co/m8r9rbcgX4
1932,673359818736984064,1310,603,Original tweet,https://t.co/EPq0MRAraJ
1933,673355879178194945,1361,504,Original tweet,https://t.co/0zUxlrhZrQ
1934,673352124999274496,1511,479,Original tweet,https://t.co/az5PLGzVNJ
1935,673350198937153538,694,186,Original tweet,https://t.co/RMv9EAv57u
1936,673345638550134785,2257,1122,Original tweet,https://t.co/GpSkpN8kXS
1937,673343217010679808,874,240,Original tweet,https://t.co/dNUbKOSiWW
1938,673342308415348736,1156,502,Original tweet,https://t.co/w0YTuiRd1a
1939,673320132811366400,12123,6970,Original tweet,https://t.co/iJABMhVidf
1940,673317986296586240,797,221,Original tweet,https://t.co/juX48bWpng
1941,673295268553605120,6814,2801,Original tweet,https://t.co/U36HYQIijg
1942,673270968295534593,967,320,Original tweet,https://t.co/mjC0QpXGum
1943,673240798075449344,1292,625,Original tweet,https://t.co/1euKoOvy49
1944,673213039743795200,2003,736,Original tweet,https://t.co/CbvCUE6PFI
1945,673148804208660480,1512,556,Original tweet,https://t.co/tA4WpkI2cw
1946,672997845381865473,1771,636,Original tweet,https://t.co/dph1UHNJrg
1947,672995267319328768,852,261,Original tweet,https://t.co/odpuqtz2Fq
1948,672988786805112832,886,256,Original tweet,https://t.co/a3zYMcvbXG
1949,672984142909456390,1129,479,Original tweet,https://t.co/81BCQAyvcs
1950,672980819271634944,1646,896,Original tweet,https://t.co/ufHWUFA9Pu
1951,672975131468300288,1518,794,Original tweet,https://t.co/ZlcF0TIRW1
1952,672970152493887488,851,312,Original tweet,https://t.co/eb4ta0xtnd
1953,672968025906282496,1197,480,Original tweet,https://t.co/7CbO2eMAgJ
1954,672964561327235073,1277,567,Original tweet,https://t.co/1ui7a1ZLTT
1955,672902681409806336,1240,433,Original tweet,https://t.co/KpLyca3o3E
1956,672898206762672129,808,372,Original tweet,https://t.co/i4XJEWwdsp
1957,672884426393653248,1387,747,Original tweet,https://t.co/g5YkRqP0dg
1958,672877615439593473,919,314,Original tweet,https://t.co/dJHI7uC2y3
1959,672834301050937345,1170,512,Original tweet,https://t.co/BIljU0zhLN
1960,672828477930868736,1123,427,Original tweet,https://t.co/fvxHL6cRRs
1961,672640509974827008,883,282,Original tweet,https://t.co/uNrmYDUa9M
1962,672622327801233409,1166,428,Original tweet,https://t.co/Cv7dRdcMvQ
1963,672614745925664768,1104,519,Original tweet,https://t.co/ntxsR98f3U
1964,672609152938721280,984,340,Original tweet,https://t.co/YAVwvNaois
1965,672604026190569472,986,345,Original tweet,https://t.co/xHXNaPAYRe
1966,672594978741354496,1191,538,Original tweet,https://t.co/jyXbZ35MYz
1967,672591762242805761,854,292,Original tweet,https://t.co/bWQ0iIcP0w
1968,672591271085670400,648,163,Original tweet,https://t.co/Pa8EmpDCuI
1969,672538107540070400,917,323,Original tweet,https://t.co/rSndxTL0Ap
1970,672523490734551040,559,148,Original tweet,https://t.co/EH0N3dFKUi
1971,672488522314567680,1008,382,Original tweet,https://t.co/rVfi6CCidK
1972,672482722825261057,1006,528,Original tweet,https://t.co/LPPa3btIIt
1973,672481316919734272,649,114,Original tweet,https://t.co/mVCMemhXAP
1974,672475084225949696,1309,621,Original tweet,https://t.co/mYhQvAdV4f
1975,672466075045466113,1210,459,Original tweet,https://t.co/8lKFBOQ2J5
1976,672272411274932228,5787,2979,Original tweet,https://t.co/ZICNl6tIr5
1977,672267570918129665,1333,546,Original tweet,https://t.co/jDXxZARQIZ
1978,672264251789176834,1022,295,Original tweet,https://t.co/TUeuaOmunV
1979,672256522047614977,2546,1342,Original tweet,https://t.co/PoMKKnKpRd
1980,672254177670729728,1295,661,Original tweet,https://t.co/OO6MqEbqG3
1981,672248013293752320,1556,530,Original tweet,https://t.co/uhx5gfpx5k
1982,672245253877968896,616,136,Original tweet,https://t.co/aCRKDaFmVr
1983,672239279297454080,813,281,Original tweet,https://t.co/UHJE0UgMf7
1984,672231046314901505,1635,895,Original tweet,https://t.co/WH7Nzc5IBA
1985,672222792075620352,712,179,Original tweet,https://t.co/EW4MsOrF5O
1986,672205392827572224,2013,1024,Original tweet,https://t.co/yRBQF9OS7D
1987,672169685991993344,917,324,Original tweet,https://t.co/AjBkGTyCeO
1988,672160042234327040,780,307,Original tweet,https://t.co/aNkkl5nH3W
1989,672139350159835138,1567,604,Original tweet,https://t.co/0OI927mmNJ
